КЛАСИКБАНК,"ПАТ ""КЛАСИКБАНК"""
ВІЕС БАНК,"ПАТ ""ВіЕс Банк""",ФОЛЬКСБАНК
МЕГА БАНК,"АТ ""МЕГА БАНК""*",МЕГА БАНК
ОМЕГА БАНК,СВЕДБАНК,СВЕДБАНК,СВЕДБАНК ІНВЕСТ
БАНК РЕГІОНАЛЬНОГО РОЗВИТКУ
АЛЬТБАНК,"АТ ""АЛЬТБАНК""","ПАТ ""НЕОС БАНК""",НЕОС БАНК,БАНК КІПРУ
СМАРТБАНК,"ПУАТ ""СМАРТБАНК""","ПУАТ ""СМАРТБАНК""лік . 21.07.2016"
ВЕЛЕС,БАНК ВЕЛЕС,"""ВЕЛЕС""",ВЕЛЕС
ДІАЛОГБАНК
ТММ-БАНК,ПАТ "ФІНАНС БАНК",ФІНАНС БАНК
"ЦЕНТР","ПАТ КБ ""Центр""","""ЦЕНТР""",ЦЕНТР
"ЄВРОПЕЙСЬКИЙ","""ЄВРОПЕЙСЬКИЙ""",ЄВРОПЕЙСЬКИЙ
ПФБ,"ПАТ ""ПФБ"" м.Кременчук"
БАНК КОНТРАКТ,"""КОНТРАКТ""",КОНТРАКТ
ЕРСТЕ БАНК
"НАЦIОНАЛЬНИЙ СТАНДАРТ"
ДНІСТЕР,"""ДНІСТЕР""",ДНІСТЕР
ОДЕСА-БАНК
ІНПРОМБАНК
ЄВРОБАНК,"ПАТ КБ ""ЄВРОБАНК"""
БРОКБІЗНЕСБАНК
ПЛАТИНУМ БАНК,"ПАТ ""ПтБ""",ПтБ
ЗАХІДІНКОМБАНК
ДЕЛЬТА БАНК,"""ДЕЛЬТА""",ДЕЛЬТА БАНК
СТОЛИЧНИЙ,"""СТОЛИЧНИЙ""",СТОЛИЧНИЙ
IНТЕГРАЛ БАНК,"""IНТЕГРАЛ""",IНТЕГРАЛ - БАНК,IНТЕГРАЛ БАНК,IНТЕГРАЛ
ДАНІЕЛЬ,"""ДАНІЕЛЬ"""
БАНК ЗОЛОТІ ВОРОТА,"""ЗОЛОТІ ВОРОТА"""
ЗЛАТОБАНК
КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК,"АТ ""КІБ""",КІБ,КОМЕРЦІЙНИЙ ІНДУСТРІАЛЬНИЙ БАНК
УКРГАЗПРОМБАНК
УКРІНБАНК
БАНК СТОЛИЦЯ
УКРКОМУНБАНК
БАНК ДЕМАРК,"""ДЕМАРК""",ДЕМАРК
ФІДОКОМБАНК
ХРЕЩАТИК,"""ХРЕЩАТИК""","ПАТ ""КБ ""ХРЕЩАТИК""",ХРЕЩАТИК
ЄКАТЕРИНОСЛАВСЬКИЙ КОМЕРЦІЙНИЙ БАНК
ЮНІОН СТАНДАРД БАНК,ЮНІОН
IНДУСТРІАЛЬНО-ЕКСПОРТНИЙ БАНК,IНДУСТРІАЛЬНО
УНIКОМБАНК
IНВЕСТБАНК
АРМА,"""АРМА""",АРМА
ПАРТНЕР-БАНК,ПАРТНЕР БАНК
МТБ БАНК,"ПАТ ""МТБ БАНК""",МТБ,МАРФІН БАНК,МАРФІН БАНК,ПАТ "МАРФІН БАНК",МАРФІН,МОРСЬКИЙ ТРАНСПОРТНИЙ БАНК
БГ БАНК,БГ БАНК,БГ
IМЕКСБАНК
БАНК ЮНІСОН,"ПАТ ""БАНК ""ЮНІСОН""",ЮНІСОН
БАНК ПЕРШИЙ
ГЕФЕСТ,"""ГЕФЕСТ""","ПАТ ""КБ ""ГЕФЕСТ""",ГЕФЕСТ
ЛЕГБАНК
РЕАЛ БАНК
БАНК РИНКОВІ ТЕХНОЛОГІЇ
РОДОВІД БАНК,"АТ ""РОДОВІД БАНК""",РОДОВІД БАНК
УКООПСПІЛКА,"""УКООПСПІЛКА""",УКООПСПІЛКА
ІНТЕРКРЕДИТБАНК
БАЗИС,"""БАЗИС""",БАЗИС
ТРАНСБАНК
АКТАБАНК,АКТАБАНК
УКРПРОМБАНК
КОМІНБАНК,"АТ ""КОМІНБАНК""",КОМІНБАНК
ПРЕМIУМ,"""ПРЕМIУМ""",ПРЕМIУМ
IНТЕРБАНК
ЄВРОПРОМБАНК,"ПАТ ""ЄВРОПРОМБАНК""",ЄВРОПРОМБАНК,"АТ ""ЄПБ""",ЄПБ
СОЦКОМБАНК
ПРАЙМ-БАНК,ПРАЙМ
ТК КРЕДИТ,"""ТК КРЕДИТ""",ТК КРЕДИТ
IПОБАНК
ГРІН БАНК
"СТАНДАРТ","""СТАНДАРТ""",СТАНДАРТ
БІЗНЕС СТАНДАРТ,"""БІЗНЕС СТАНДАРТ""",БІЗНЕС СТАНДАРТ
ПОЛІКОМБАНК,Полікомбанк
ВIEЙБI БАНК,ВIEЙБI
ФІНРОСТБАНК
ДІВІ БАНК,"ПАТ ""ДІВІ БАНК""",ДІВІ,ДІВІ БАНК
ПОРТО-ФРАНКО,"""ПОРТО-ФРАНКО""",ПОРТО-ФРАНКО
ЕРДЕ БАНК
АКЦЕНТ-БАНК
АПЕКС-БАНК,"ПАТ ""АПЕКС-БАНК""",АПЕКС
ЧОРНОМОРСЬКИЙ БАНК РОЗВИТКУ ТА РЕКОНСТР.,ЧОРНОМОРСЬКИЙ
ДЕРЖЗЕМБАНК,"ПАТ ""Держзембанк""",ДЕРЖЗЕМБАНК
УНIКРЕДИТ БАНК
ПРОМЕКОНОМБАНК
ХОУМ КРЕДИТ БАНК
ЄВРОГАЗБАНК,ЄВРОГАЗБАНК
МЕЛІОР БАНК,МЕЛІОР
ТЕРРА БАНК,ТЕРРА
АВАНТ-БАНК,АВАНТ
МІСЬКИЙ КОМЕРЦІЙНИЙ БАНК,КОНВЕРСБАНК
СИНТЕЗ,"""СИНТЕЗ"""
"А - БАНК","ПАТ ""А - БАНК""","АТ ""А - БАНК""",А - БАНК
