Date,NII,IR,AE,NCI,LEV,TA,CASH
2018-07-01,0.0158508550815412,15.552266666666668,0.0195872533000451,0.0059801331161827,0.2061830970387176,0.0010681282989251,0.0570557465732241
2018-10-01,0.0155402335873026,16.915233333333333,0.0183624638404726,0.0063513034800143,0.1921918202977716,0.0010907315806108,0.0532974126744283
2019-01-01,0.0157737571904095,17.550566666666665,0.0179456273364937,0.0056844405967958,0.1868734770000265,0.0010756445243629,0.057822637689001
2019-04-01,0.015928469726742,16.2205,0.0199372397247818,0.0056638627412041,0.177658461958103,0.0011406770902082,0.0575527712486117
2019-07-01,0.0167091432523388,16.029366666666665,0.0198773882810566,0.0064865708981021,0.1781241025202601,0.0011525965404044,0.0577382357972555
2019-10-01,0.0164321983649921,15.4799,0.0194891312949366,0.0061122298709325,0.16473118311057,0.0011812639324415,0.0612621692827075
2020-01-01,0.0159005181522544,13.035166666666669,0.0205993950047714,0.0062989852879394,0.1648552623366877,0.001187513996619,0.0628348490220485
2020-04-01,0.014515406844008,9.1727,0.0227446082740831,0.005809715830411,0.1573566340389516,0.0012483811613469,0.0607292437596409
2020-07-01,0.0133905807004331,6.243133333333333,0.019800763082762,0.0047906665388508,0.1553961696918907,0.0011778104157014,0.0598957491955684
2020-10-01,0.0128922192431791,5.0806,0.0181430416008578,0.0051377043341922,0.1554244848572036,0.0012517558404687,0.0640283334501538
2021-01-01,0.0120008741443655,5.242566666666666,0.018414666736213,0.0054074397277873,0.1313655341025204,0.0013749683083192,0.0647651275539122
2021-04-01,0.0117941211102938,5.2969,0.0187460524960522,0.0051871547750963,0.1284587275037448,0.0015914675403086,0.0571543474116376
2021-07-01,0.0132609682086201,6.6282,0.0162961543424712,0.0050257660751321,0.1220797107941665,0.0017396431402779,0.055777178953943
2021-10-01,0.0132165222366495,7.430266666666667,0.0153305974995716,0.0044160447601722,0.1193561594539962,0.0019716547185476,0.0546594383815923
2022-01-01,0.0135387499355625,7.771633333333334,0.0156872994648665,0.0052498329174248,0.1223340583606626,0.001920318613142,0.0557638060270176
2022-04-01,0.0125392531139135,9.087233333333332,0.0166397480858622,0.0044056196904271,0.1212936713641082,0.0019357356530698,0.0624459259170754
2022-07-01,0.0127473294522502,13.666666666666666,0.013129681767521,0.0025897216346296,0.1193183559940623,0.0018706711561913,0.0512711901774321
2022-10-01,0.0150390435702565,23.014166666666668,0.0144015065260427,0.0036959047489921,0.1171284832096542,0.0016032617561419,0.0451086131186124
2023-01-01,0.0167350120210459,22.980866666666667,0.0159920121882601,0.0038350384793083,0.1166967049490794,0.0016741832192878,0.0536453507496723
2023-04-01,0.0171969344657101,23.0,0.0182359638998254,0.0038977738804337,0.1102482184450205,0.0017767476700467,0.0730857370095655
2023-07-01,0.0178680941585899,20.0,0.0151616461492285,0.0033620874792517,0.1209407505823897,0.00157140861744,0.0814636184494312
2023-10-01,0.0180637970947237,17.333333333333332,0.015386757160429,0.0030950350134571,0.1242411107909347,0.0016403822939851,0.0818349994601174
2024-01-01,0.0171291582361081,15.666666666666666,0.015120345869791,0.0036521256447102,0.1271452652436061,0.0019698284052771,0.084504906854578
2024-04-01,0.0162964423076394,14.833333333333334,0.0173482246388828,0.002706059036588,0.1120758934494028,0.002055993013227,0.0811768178234238
2024-07-01,0.0164553902615723,13.333333333333334,0.0174765415054516,0.0030130525117118,0.1213836201501732,0.0019463606583555,0.0848937820096457
